label,text
neg,:Hello Japan is a nuclear power plant crisis. {link}
neu,. Renewable Energy Consumption Tops Nuclear for FirstTime {link} is nuclear energy renewable
neu,. Will liberals now seek to eliminate dangerous nuclear power plants? {link} green energy news
neu,"(Aug 22,2011)Plant Status of Fukushima Daiichi Nuclear Power Station (as of 3:00 pm, Aug. 22) {link} #tepco #japan"
neu,[ebook] Nuclear Energy and the Environment: Oxf ord Un iversity Pr ess | 2011 | ISBN: 0841225850 | 432 pages | P... {link}
neu,"[GJOBS] Nuclear Power Safety Campaign Organizer - Temporary / Union of Concerned Scientists / Cambridge, MA {link}"
neu,[news] Nuclear Power Plant: Radioactive Tritium Contamination in Vermont {link} #nwo
neu,[science] Nuclear Energy and the Environment: Oxf ord Un iversity Pr ess | 2011 | ISBN: 0841225850 | 432 pages |... {link}
neu,{link} :P How many windmills would you need to produce as much power as one average nuclear power station? windmills
pos,"{link} &quot;The right thing to do&quot; I'm for nuclear energy, when done correctly. But this plant was built to a 1970's standard."
neu,"{link} 6 min Video: Masao Yoshida, of Fukushima Diichi Nuclear Station thanks all for aid and reports current progress."
neu,{link} 74 percent favor gradual reduction of nuclear power plants: Mainichi poll - Mainichi Daily News
neu,{link} Coal seen as possible alternative to nuclear power: EGAT
neu,{link} Experts are not sure of the economic side project of the Lithuanian nuclear power plant
neu,{link} Five Star�_� Enters Nuclear Power Supply Market
neu,{link} Five Star�_� Enters Nuclear Power Supply Market - PR Newswire (press release)
neu,{link} health newspaper articles Complete rejection of peaceful nuclear energy will require a multi-million dollar inves...
neu,{link} India to accord highest safety standards for civil nuclear energy: PM - Economic Times
neu,{link} Nuclear Power 101 via Arnie Gundersen w #Resume @mention #SCCouncil #NIRS
neu,{link} PM bats for nuclear energy - Times of India
neu,{link} Saudi Arabia's Nuclear Energy Ambitions - Energy Collective
neu,"{link} The 1940 Olympics, decreased rice consumption results in improved health, nuclear power per... {link}"
neu,{link} What's happening @mention Fukushima nuclear power plant?!
neg,{link} Would you rather have a few dozen wind turbines or a nuclear power plant near your home? . turbines power
neu,"{link} YNN/Marist Poll: How New Yorkers feel about nuclear power, hydrofracking"
neu,@mention Ever hears talk of a place in north MI around a nuclear power plant that is bow hunting only?
neu,@mention No. It's in north west Missouri it's a WMA around a nuclear power plant. 6000 ac. My buddy was looking to go. Bow only.
neu,@mention LOL The best bumper sticker I ever saw was: &quot;NUCLEAR POWER IS SAFER THAN TED KENNEDY'S CAR.&quot; I guess that one dates me.
neu,@mention - newamerica9.com is an investment website or are you talking about nuclear energy dangers?
neu,"RT @mention : Science Saturday: Nuclear energy, melting ice caps, and human adaptation {link}"
neu,RT @mention 'Hinkley Point C' - Britain's newest nuclear power station #nuclear
neu,@mention @mention - She is a mess. I am thinking of moving back down that way after 2012. Here is another we did: {link}
neu,"RT @mention @mention @mention Corino, your a bigger threat of death than the Limerick Nuclear Power plant...you surviving abortion!"
neu,"@mention @mention Corino, your a bigger threat of death than the Limerick Nuclear Power plant...you surviving abortion!"
neu,"RT @mention @mention has &quot;open mind&quot; on nuclear energy, but is concerned about nuclear waste and need for water to run the plant. #cagov #nuclear"
neg,RT @mention @mention I want to stop the nuclear power plant all over the world now.So I shout it everyday;)So Thanks for your RT and heart.
neg,@mention @mention Nuclear Energy is good until something happens. Is it really worth the Risk of Radiation at Extreme Levels! NO!
neg,"@mention @mention The only problem is that prosperity was built on nuclear energy and not renewables, so they are in trouble now"
neu,RT @mention @mention Top 10 things Indian citizens could do in case of a #nuclear power plant accident in the country {link}
neg,"RT @mention @mention we gotta pioneer new technologies to help us all endure the radiation, and shut down #nuclear energy plants for good! #Tesla"
neu,RT @mention &#31119;&#23798;&#31532;&#19968;&#21407;&#30330;&#12289;&#22320;&#38754;&#12364;&#12402;&#12403;&#21106;&#12428;&#12289;&#25918;&#23556;&#33021;&#29289;&#36074;&#12434;&#21547;&#12416;&#33976;&#27671;&#12364;&#19978;&#12364;&#12387;&#12390;&#12356;&#12427;&#12290;&#65288;Russia today &#65289; RT Ground is cracking underneath Fukushima nuclear : {link} #fukushima
neu,"@mention &gt;Good decision and further evidence that, like #nuclear power, #SmartGrid can't survive without a #CorporateEntitlement"
pos,RT @mention #InHarperstopsyturvyCanada Nuclear power is considered safe and affordable.....Green power is not #cdnpoli
neu,RT @mention #Marxism #Socialism Nuclear power plant workers defeat attack on pensions: After an 18-day strike... {link} #p2 #rebelleft
neu,"RT @mention #News #Energy Nuclear power generation to touch 20,000 MW in 20 years {link}"
neu,"RT @mention #News #IndustryNews Nuclear power generation to touch 20,000 MW in 20 years {link}"
neu,RT @mention #nuclear Turkey moves forward with nuclear energy plans - Marketplace.publicradio.org {link}
neu,RT @mention #SMR are possibly important #nuclear #technology �_ɕ_�it's important not to impede their #development - {link} #nuclear #energy
neu,RT @mention #TEPCO to desalinate used fuel pools at #Fukushima Daiichi #nuclear energy facility - {link}
neu,RT @mention #Utah moving closer to getting its first #nuclear power plant {link}
neu,RT @mention #Vermont #Yankee #Nuclear #Power #Plant #Vermont Groups team up to fight nuclear relicensing {link}
neg,RT @mention 15 years of French #nuclear #energy use has created so much waste that a *whole room* needs to be dedicated to storage {link}
neu,"@mention 4:30 PM ET, watch the Nuclear Energy Town Hall Meeting from August 2 on the Florida Channel &amp; WEB1 at TheFloridaChannel.org."
neu,RT @mention 5 Largest #Solar Installations in the World - promising alternatives to #nuclear power plants {link}
neu,RT @mention 66th Carnival of Nuclear Energy Bloggers online now at ANS #Nuclear Cafe {link}
neu,RT @mention 66th Carnival of Nuclear Energy Bloggers online now at ANS Nuclear Cafe {link}
neu,"@mention a few years ago, you told me of self sufficient nuclear power 1x1m cubes that cld power a town for 15 years. What were they called?"
neu,RT @mention A photographer made exclusive pictures inside the #Fukushima #nuclear power plant: {link}
neu,RT @mention A planet powered by thorium? Thorium reactors could rescue nuclear power {link}
neu,RT @mention Abbasi says Russia has proposed cooperating with Iran on building new nuclear power plants in the country {link} via @mention
neu,RT @mention Activists' Guide to Fighting Nuclear Power. Public Citizen Climate and Energy: {link} via @mention
neu,"RT @mention Again! TransCanada Tar Sands expose, how 7 pipelines and nuclear power fit into the overall strategy. {link}"
neu,RT @mention Alabama Nuclear Power Plant Gets Go-Ahead for Construction ---- {link} ----- Please RT; it's enough already!
neu,RT @mention An interview with @mention Nuclear Power �_� How safe is it and what have we learned from Japan? | {link}
neu,RT @mention ANS Nuclear Cafe: Saudi Arabia boosts its nuclear energy ambitions {link}
neg,RT @mention Anti nuclear power T-shirt {link} #nonukes
neu,RT @mention anybody want to buy a floating nuclear power plant? cheap? {link} via @mention
neu,@mention Are you guys going to be phasing out nuclear energy then?
neu,"RT @mention As China pushes forward on nuclear energy, the U.S. is held back by red tape and irrational fear {link}"
neu,"RT @mention Best part about the new Alabama nuclear power plant? If there is a meltdown, the wind will carry all the radiation to Knoxville."
neu,RT @mention Blue Castle Nuclear Project Closer to Filing Licensing Application {link} #nuclear #energy #electricity #utilities
neu,@mention BREAKING: Hokkaido governor formally approves restart of commercial operations of No.3 reactor at Tomari nuclear power plant
neu,RT @mention Can Tokyo function without nuclear power? asks @mention {link}
neu,RT @mention Canada may become the first nation in the world to use nuclear energy to ACCELERATE fossil fuel production. #cfsfcee
neu,RT @mention China Takes Lead in Race for Clean Nuclear Power #thorium {link}
pos,"@mention Climate change is real, and nuclear power is safe; that these FACTS are denied by alternate groups is ULTIMATE FRUSTRATION."
neu,RT @mention Coal seen as possible alternative to nuclear power: EGAT {link}
neu,"@mention Couple nuclear power and near-100% efficient electric motors, and you have a near-wasteless process with no carbon emission."
neu,@mention Cucumbers and nuclear power.
neu,RT @mention Debate: Does the world need nuclear energy? {link}
neu,RT @mention Devastating March 11 #earthquake leaves Japan pondering its fuel mix. See Platts The Barrel blog at {link} #nuclear #energy
neu,@mention Did they mention why Ancient Aliens came all the way to earth to mine gold or only used nuclear power? Gold only exists on Earth.
